crime_rate,crowd_density,time_of_day,weather_condition,longitude,latitude,location_type,city,place
24,397,night,Sunny,84.096,24.0614,Urban,Bengaluru,Marine Drive
1046,214,afternoon,Clear,79.0235,29.5407,Rural,Hyderabad,Juhu Beach
1147,85,morning,Sunny,88.1332,35.5072,Rural,Pune,Marine Drive
556,312,night,Clear,79.4607,14.7733,Rural,Delhi,Charminar
1256,112,morning,Cloudy,93.5813,21.683,Urban,Bengaluru,Connaught Place
650,472,night,Foggy,71.4312,25.0454,Suburban,Bengaluru,Charminar
29,50,evening,Clear,88.5354,13.0584,Urban,Hyderabad,Juhu Beach
1322,421,afternoon,Cloudy,89.1211,9.3176,Suburban,Ahmedabad,MG Road
1916,266,evening,Rainy,71.1543,15.4892,Urban,Hyderabad,Juhu Beach
1298,254,afternoon,Foggy,69.1884,33.9653,Urban,Kolkata,Connaught Place
825,491,afternoon,Sunny,93.4779,23.7551,Urban,Ahmedabad,Connaught Place
734,410,afternoon,Clear,96.3668,26.3506,Urban,Ahmedabad,Marine Drive
1179,97,afternoon,Rainy,84.8834,27.2969,Suburban,Pune,Juhu Beach
507,210,evening,Rainy,69.8358,18.3816,Suburban,Kolkata,MG Road
191,290,evening,Clear,87.7879,14.5144,Urban,Pune,Connaught Place
1286,341,evening,Sunny,87.9771,32.0531,Rural,Ahmedabad,Juhu Beach
1288,118,afternoon,Rainy,81.247,9.6728,Suburban,Hyderabad,Juhu Beach
1546,149,morning,Rainy,68.729,13.9121,Rural,Kolkata,Connaught Place
452,387,night,Rainy,78.0507,17.7645,Rural,Kolkata,Juhu Beach
1271,150,evening,Cloudy,72.9433,19.7833,Urban,Kolkata,Park Street
267,31,night,Foggy,86.8183,9.8656,Urban,Bengaluru,Juhu Beach
613,312,morning,Clear,89.4617,29.2813,Suburban,Pune,MG Road
418,90,morning,Foggy,79.9877,32.373,Urban,Kolkata,Charminar
1864,456,evening,Cloudy,94.9251,29.0114,Suburban,Hyderabad,Park Street
38,116,night,Sunny,93.7113,18.7815,Rural,Chennai,MG Road
583,144,night,Cloudy,81.6071,19.7713,Urban,Hyderabad,Park Street
1626,255,morning,Clear,73.1855,8.0206,Suburban,Mumbai,Juhu Beach
1562,221,evening,Cloudy,74.449,25.2568,Rural,Hyderabad,Park Street
739,386,night,Sunny,78.5027,23.1586,Urban,Hyderabad,Juhu Beach
903,86,night,Foggy,74.7417,27.659,Urban,Delhi,Charminar
703,228,morning,Sunny,85.3819,18.4059,Suburban,Delhi,MG Road
1624,8,night,Cloudy,96.9533,27.9571,Urban,Hyderabad,Connaught Place
1773,291,evening,Cloudy,88.2669,24.8239,Urban,Delhi,Charminar
912,362,morning,Sunny,84.7228,10.934,Suburban,Mumbai,Marine Drive
1302,157,evening,Sunny,96.4834,13.6377,Rural,Ahmedabad,Charminar
650,251,night,Rainy,77.2364,25.5042,Suburban,Delhi,Marine Drive
1582,198,night,Sunny,68.7858,27.4404,Suburban,Pune,Connaught Place
947,321,morning,Rainy,92.9562,29.4086,Rural,Pune,Marine Drive
76,47,afternoon,Cloudy,81.1452,22.3669,Suburban,Hyderabad,Charminar
983,165,night,Foggy,95.1669,15.7236,Rural,Kolkata,Marine Drive
677,4,morning,Sunny,90.5615,23.4896,Suburban,Pune,Charminar
1932,401,night,Clear,96.8601,24.5885,Suburban,Delhi,Charminar
1427,494,night,Cloudy,89.2951,34.1001,Rural,Chennai,Connaught Place
1751,156,afternoon,Foggy,72.2857,17.3671,Rural,Pune,Connaught Place
253,422,afternoon,Sunny,70.3829,16.4737,Suburban,Pune,Charminar
445,481,afternoon,Rainy,92.0988,34.7956,Suburban,Delhi,Juhu Beach
668,416,afternoon,Rainy,86.9012,9.4519,Suburban,Delhi,Charminar
1007,127,afternoon,Rainy,69.3479,20.9176,Suburban,Ahmedabad,Juhu Beach
1631,34,morning,Rainy,90.8322,20.9329,Rural,Bengaluru,Juhu Beach
33,335,morning,Cloudy,71.4539,20.4037,Urban,Bengaluru,MG Road
910,71,night,Cloudy,89.5365,21.2847,Rural,Chennai,Connaught Place
854,440,evening,Foggy,89.3717,26.903,Urban,Chennai,Juhu Beach
488,192,evening,Sunny,79.3792,27.2414,Suburban,Hyderabad,Park Street
578,228,afternoon,Sunny,77.5769,10.3332,Rural,Delhi,Marine Drive
420,41,night,Clear,73.7249,14.8742,Urban,Pune,Charminar
1525,26,evening,Clear,77.8638,35.883,Urban,Bengaluru,Connaught Place
902,305,afternoon,Clear,73.2863,23.9645,Suburban,Kolkata,Park Street
1317,99,evening,Foggy,70.0367,8.3087,Rural,Ahmedabad,MG Road
1042,308,night,Clear,69.4979,24.8525,Rural,Delhi,Marine Drive
52,1,night,Sunny,70.6646,12.7493,Urban,Pune,Juhu Beach
1044,12,night,Rainy,69.7795,36.5823,Rural,Bengaluru,Juhu Beach
1916,87,morning,Sunny,68.0689,33.5484,Rural,Ahmedabad,Charminar
10,192,evening,Cloudy,71.0456,33.65,Rural,Mumbai,Marine Drive
1569,243,afternoon,Sunny,83.0739,23.9521,Rural,Ahmedabad,MG Road
297,48,evening,Cloudy,79.5077,25.4689,Rural,Ahmedabad,Juhu Beach
97,213,morning,Clear,83.0931,13.3834,Rural,Delhi,Park Street
1099,156,afternoon,Rainy,90.4058,23.4389,Urban,Ahmedabad,Marine Drive
500,308,morning,Cloudy,69.953,26.9121,Suburban,Mumbai,Marine Drive
85,71,morning,Cloudy,68.1755,16.9098,Urban,Kolkata,Juhu Beach
112,369,morning,Clear,74.0253,20.5934,Rural,Delhi,Park Street
1833,446,night,Sunny,85.1438,21.2694,Urban,Hyderabad,Marine Drive
951,210,morning,Clear,90.7816,14.8538,Suburban,Mumbai,MG Road
608,330,afternoon,Cloudy,82.8145,35.9231,Urban,Hyderabad,Park Street
740,424,morning,Foggy,69.1862,35.3158,Rural,Delhi,Park Street
356,32,evening,Foggy,88.1934,22.7189,Suburban,Ahmedabad,Connaught Place
479,20,morning,Rainy,96.2913,14.474,Urban,Bengaluru,Marine Drive
552,1,afternoon,Cloudy,83.8089,19.0673,Suburban,Delhi,Connaught Place
210,488,afternoon,Foggy,92.8139,33.5947,Urban,Mumbai,Connaught Place
832,484,afternoon,Clear,88.317,27.3271,Suburban,Hyderabad,Marine Drive
131,232,evening,Cloudy,87.0407,21.8889,Rural,Bengaluru,Park Street
1277,271,morning,Rainy,79.7344,31.8416,Rural,Hyderabad,MG Road
1087,308,night,Cloudy,82.8636,10.2964,Rural,Ahmedabad,Park Street
977,252,afternoon,Sunny,69.4969,13.4984,Suburban,Ahmedabad,Marine Drive
412,197,evening,Sunny,81.2143,11.838,Rural,Bengaluru,Marine Drive
51,475,afternoon,Cloudy,69.632,33.9603,Urban,Ahmedabad,Marine Drive
1888,277,morning,Sunny,71.8071,8.3368,Rural,Ahmedabad,MG Road
170,88,afternoon,Foggy,85.8465,13.4258,Rural,Chennai,Charminar
959,81,evening,Rainy,84.1857,24.4388,Suburban,Ahmedabad,Juhu Beach
893,296,night,Rainy,75.3614,8.1142,Suburban,Pune,Marine Drive
768,362,night,Rainy,73.1388,13.2926,Rural,Mumbai,Marine Drive
1683,52,night,Foggy,74.2154,30.6709,Urban,Kolkata,Park Street
709,327,night,Foggy,94.9219,31.4375,Rural,Ahmedabad,Juhu Beach
435,142,night,Rainy,89.9932,13.0482,Urban,Bengaluru,MG Road
991,63,night,Clear,76.1843,14.2641,Urban,Hyderabad,Juhu Beach
319,394,night,Foggy,86.7449,32.4032,Suburban,Hyderabad,Charminar
1705,396,night,Clear,91.767,35.4021,Suburban,Ahmedabad,Connaught Place
28,374,afternoon,Cloudy,69.5277,28.2598,Urban,Ahmedabad,Juhu Beach
986,483,afternoon,Clear,73.9539,17.6638,Urban,Bengaluru,Charminar
687,417,morning,Rainy,69.8401,16.6579,Suburban,Ahmedabad,Charminar
946,177,night,Foggy,94.2182,36.9653,Rural,Kolkata,Park Street
939,278,morning,Rainy,88.7318,8.2128,Suburban,Mumbai,Connaught Place
1727,108,night,Rainy,96.1237,35.3923,Urban,Kolkata,Connaught Place
995,98,evening,Rainy,90.5614,16.2315,Rural,Chennai,Charminar
1183,13,morning,Cloudy,85.6823,14.0306,Suburban,Ahmedabad,Marine Drive
1472,363,night,Cloudy,76.4134,8.3354,Suburban,Mumbai,Park Street
125,265,night,Sunny,93.8183,36.9386,Rural,Pune,Connaught Place
1564,215,evening,Foggy,79.3857,35.1462,Suburban,Pune,MG Road
326,99,afternoon,Sunny,80.7608,16.1318,Urban,Delhi,Charminar
458,455,night,Cloudy,72.2501,28.2723,Rural,Hyderabad,Juhu Beach
492,76,afternoon,Sunny,87.9448,12.0753,Urban,Kolkata,Marine Drive
541,315,morning,Sunny,86.9129,11.4873,Suburban,Delhi,Marine Drive
368,119,evening,Cloudy,70.378,35.3833,Rural,Delhi,Charminar
1731,191,afternoon,Foggy,95.9924,33.6271,Suburban,Delhi,Connaught Place
1283,18,afternoon,Foggy,72.6636,16.6466,Rural,Hyderabad,Connaught Place
695,33,afternoon,Rainy,91.8273,14.3889,Urban,Bengaluru,MG Road
829,215,morning,Rainy,81.1052,34.1753,Suburban,Chennai,Connaught Place
465,220,night,Foggy,85.1965,9.7388,Urban,Mumbai,Charminar
1336,71,night,Rainy,96.3935,22.6543,Rural,Hyderabad,Charminar
59,163,evening,Rainy,88.2938,32.212,Urban,Pune,Park Street
898,208,night,Rainy,83.6903,26.7381,Urban,Pune,Juhu Beach
1334,89,evening,Rainy,82.8605,33.7303,Suburban,Hyderabad,Connaught Place
1330,127,night,Sunny,88.2462,11.1106,Rural,Kolkata,Connaught Place
349,93,night,Rainy,69.3591,18.124,Urban,Pune,Juhu Beach
1276,207,morning,Sunny,78.6585,26.1138,Urban,Bengaluru,MG Road
1277,194,afternoon,Cloudy,84.4482,9.7081,Suburban,Kolkata,MG Road
383,379,night,Clear,86.2862,11.2296,Rural,Bengaluru,MG Road
443,382,evening,Foggy,75.6413,34.1244,Rural,Delhi,Juhu Beach
1402,3,evening,Sunny,74.1346,22.7797,Rural,Pune,Connaught Place
1007,128,evening,Sunny,95.3865,25.7902,Suburban,Bengaluru,Connaught Place
1317,394,morning,Clear,94.7776,14.2758,Urban,Chennai,Connaught Place
1729,280,morning,Sunny,71.8209,28.489,Rural,Hyderabad,Park Street
1666,384,morning,Clear,87.2855,16.2957,Rural,Mumbai,MG Road
49,405,morning,Foggy,89.1,28.095,Suburban,Ahmedabad,Connaught Place
637,428,night,Clear,76.2168,31.2653,Urban,Ahmedabad,Connaught Place
1751,208,night,Clear,73.4865,28.7536,Urban,Hyderabad,Charminar
731,82,morning,Clear,79.2212,22.9666,Rural,Chennai,Marine Drive
1005,145,night,Foggy,87.9549,12.7162,Urban,Kolkata,Park Street
1444,109,afternoon,Clear,70.8107,13.5271,Suburban,Kolkata,Connaught Place
1033,24,evening,Rainy,77.2005,15.5711,Rural,Bengaluru,Marine Drive
208,88,evening,Sunny,79.181,35.5715,Suburban,Pune,Connaught Place
284,346,afternoon,Rainy,71.4893,26.9302,Urban,Pune,MG Road
1449,320,evening,Rainy,89.8266,21.5157,Urban,Mumbai,MG Road
60,248,afternoon,Foggy,87.6671,10.6571,Suburban,Mumbai,Connaught Place
238,441,morning,Rainy,91.3295,33.4047,Rural,Kolkata,Marine Drive
1724,373,morning,Clear,71.9739,25.9832,Rural,Chennai,Charminar
216,60,night,Rainy,80.1441,18.681,Urban,Pune,Connaught Place
1741,337,morning,Clear,68.4171,21.888,Urban,Kolkata,Marine Drive
686,78,night,Clear,76.6871,9.0689,Rural,Kolkata,Marine Drive
1110,227,evening,Sunny,77.073,24.4319,Urban,Hyderabad,MG Road
191,141,afternoon,Rainy,90.0906,35.5243,Rural,Hyderabad,Juhu Beach
144,383,morning,Sunny,68.1017,14.4036,Rural,Delhi,Marine Drive
280,89,evening,Sunny,93.8645,17.7645,Rural,Chennai,Park Street
1778,280,morning,Sunny,95.4791,17.2493,Urban,Hyderabad,Juhu Beach
1782,375,afternoon,Rainy,77.7392,12.2261,Suburban,Bengaluru,Juhu Beach
80,370,evening,Clear,71.7385,9.3481,Urban,Delhi,MG Road
1109,500,morning,Clear,93.3785,16.427,Suburban,Chennai,Charminar
1119,218,evening,Sunny,93.4905,24.3222,Urban,Chennai,Juhu Beach
494,25,morning,Cloudy,82.9665,13.8062,Suburban,Delhi,Connaught Place
1496,252,afternoon,Sunny,84.7413,29.305,Suburban,Delhi,Juhu Beach
731,286,night,Sunny,78.2894,31.0956,Suburban,Pune,Connaught Place
19,280,evening,Cloudy,90.9715,35.6227,Suburban,Delhi,Park Street
616,274,night,Sunny,71.1033,16.1735,Suburban,Hyderabad,Marine Drive
1033,285,evening,Clear,89.8025,25.5778,Rural,Delhi,Juhu Beach
721,59,morning,Rainy,69.375,23.8677,Urban,Mumbai,MG Road
1738,250,morning,Clear,76.2891,16.475,Rural,Delhi,Charminar
306,234,night,Sunny,76.664,14.7494,Rural,Pune,Charminar
1959,359,morning,Cloudy,71.2591,19.5058,Suburban,Kolkata,Connaught Place
1104,211,morning,Clear,83.4009,20.8017,Suburban,Ahmedabad,Charminar
432,23,evening,Foggy,84.9178,14.6476,Urban,Delhi,Connaught Place
88,191,evening,Cloudy,85.9164,25.6209,Rural,Ahmedabad,Juhu Beach
1697,273,afternoon,Rainy,71.2546,27.464,Rural,Bengaluru,Charminar
756,11,morning,Rainy,92.3385,24.7766,Suburban,Kolkata,Marine Drive
1124,60,morning,Foggy,81.4386,24.3582,Suburban,Kolkata,Juhu Beach
205,312,evening,Foggy,96.8557,25.4326,Urban,Hyderabad,Connaught Place
1006,180,evening,Cloudy,81.38,10.6616,Rural,Ahmedabad,Juhu Beach
1518,428,night,Sunny,73.976,13.2914,Suburban,Chennai,Connaught Place
1181,12,afternoon,Rainy,73.4723,27.3029,Suburban,Hyderabad,Marine Drive
36,16,night,Rainy,83.8781,17.1175,Urban,Bengaluru,Juhu Beach
1299,382,night,Foggy,70.9644,27.3321,Urban,Mumbai,MG Road
832,484,night,Rainy,73.683,17.135,Urban,Chennai,Marine Drive
128,440,night,Foggy,82.8924,19.8276,Rural,Kolkata,Charminar
1927,246,night,Sunny,94.5894,28.2825,Urban,Kolkata,Charminar
903,58,morning,Foggy,83.5983,16.0565,Urban,Delhi,Charminar
466,188,afternoon,Rainy,73.228,13.985,Urban,Ahmedabad,Marine Drive
424,95,evening,Clear,88.8136,34.2396,Rural,Kolkata,Marine Drive
797,375,afternoon,Cloudy,68.5596,20.9775,Urban,Kolkata,Juhu Beach
1496,456,night,Rainy,89.0523,28.5558,Suburban,Hyderabad,Charminar
1845,386,night,Rainy,93.1177,33.8186,Urban,Pune,Juhu Beach
1151,363,morning,Sunny,91.9357,32.8137,Suburban,Mumbai,Marine Drive
593,331,night,Rainy,89.1545,24.5882,Rural,Delhi,Charminar
174,319,night,Foggy,88.2086,33.3791,Urban,Kolkata,Connaught Place
1527,203,evening,Cloudy,86.6595,18.1319,Suburban,Bengaluru,Charminar
1605,147,night,Cloudy,94.7481,29.8842,Urban,Chennai,Juhu Beach
303,497,evening,Sunny,78.1218,14.8702,Rural,Hyderabad,MG Road
738,20,afternoon,Cloudy,69.645,13.2276,Urban,Delhi,MG Road
38,23,night,Cloudy,75.4749,35.619,Rural,Hyderabad,MG Road
192,330,morning,Sunny,82.5061,20.3323,Urban,Chennai,Marine Drive
1644,250,evening,Rainy,80.2713,14.2413,Suburban,Kolkata,Connaught Place
653,209,evening,Sunny,91.1096,11.8338,Urban,Kolkata,Charminar
847,98,morning,Foggy,76.2111,22.6066,Suburban,Chennai,MG Road
105,237,morning,Foggy,95.5655,14.5154,Rural,Pune,Park Street
646,241,evening,Rainy,70.8215,31.647,Rural,Chennai,Marine Drive
954,29,night,Clear,84.4115,36.0458,Urban,Mumbai,Marine Drive
1014,237,afternoon,Clear,94.5937,26.1969,Suburban,Ahmedabad,Juhu Beach
33,320,afternoon,Rainy,79.0579,29.2252,Rural,Hyderabad,Juhu Beach
1358,300,evening,Foggy,73.4023,8.6448,Urban,Delhi,Marine Drive
1276,210,afternoon,Cloudy,78.4081,17.7847,Suburban,Kolkata,MG Road
1784,102,evening,Cloudy,86.3943,8.0943,Urban,Hyderabad,Connaught Place
1743,453,night,Foggy,87.6746,21.7537,Suburban,Hyderabad,Marine Drive
549,424,evening,Sunny,76.7268,36.6928,Urban,Delhi,Juhu Beach
186,53,evening,Rainy,88.8008,10.8875,Urban,Kolkata,Connaught Place
1508,7,afternoon,Clear,70.9833,17.3908,Urban,Delhi,Juhu Beach
396,472,afternoon,Clear,85.1554,32.7732,Rural,Hyderabad,Connaught Place
236,453,morning,Rainy,68.9816,36.5235,Urban,Hyderabad,MG Road
1883,159,night,Foggy,76.1667,22.6891,Urban,Hyderabad,MG Road
1788,305,evening,Foggy,81.0941,14.3664,Suburban,Ahmedabad,Marine Drive
1013,56,night,Clear,83.4805,24.3934,Suburban,Delhi,MG Road
355,46,night,Rainy,86.147,9.5556,Suburban,Hyderabad,Juhu Beach
895,17,morning,Cloudy,83.9339,9.4408,Suburban,Mumbai,Connaught Place
1218,468,afternoon,Cloudy,75.2861,27.634,Urban,Mumbai,Park Street
497,499,evening,Sunny,83.9907,28.1513,Suburban,Delhi,Juhu Beach
1942,224,afternoon,Rainy,69.9747,22.0981,Urban,Kolkata,Marine Drive
1768,180,night,Foggy,93.9136,14.645,Rural,Chennai,Marine Drive
839,215,afternoon,Rainy,71.0932,29.5094,Urban,Kolkata,Marine Drive
1769,321,evening,Sunny,82.9589,35.7736,Rural,Mumbai,Connaught Place
41,13,afternoon,Cloudy,86.6423,16.794,Rural,Mumbai,Connaught Place
929,388,morning,Cloudy,87.9583,13.1859,Urban,Hyderabad,Park Street
1475,340,night,Sunny,68.6058,17.9198,Rural,Bengaluru,Juhu Beach
46,478,afternoon,Rainy,89.2051,32.8101,Urban,Ahmedabad,Park Street
503,177,afternoon,Rainy,69.1217,24.0628,Suburban,Chennai,Juhu Beach
963,205,night,Foggy,72.65,22.6162,Urban,Hyderabad,Charminar
196,488,afternoon,Sunny,71.0229,35.7416,Rural,Delhi,Connaught Place
670,99,night,Rainy,82.545,34.9939,Urban,Kolkata,Connaught Place
541,211,afternoon,Clear,72.6458,12.6421,Rural,Hyderabad,Juhu Beach
715,92,afternoon,Foggy,78.521,19.247,Urban,Bengaluru,Marine Drive
1294,142,evening,Foggy,83.9313,11.7749,Urban,Mumbai,Connaught Place
1985,15,evening,Sunny,75.7584,32.0395,Suburban,Chennai,Park Street
199,260,night,Rainy,69.936,10.4154,Urban,Bengaluru,Connaught Place
115,121,afternoon,Clear,95.8986,15.3052,Suburban,Ahmedabad,Park Street
686,240,afternoon,Rainy,82.4029,25.7591,Suburban,Delhi,Connaught Place
823,127,evening,Rainy,76.7756,12.1957,Urban,Chennai,Juhu Beach
940,54,night,Clear,96.7059,17.1757,Urban,Kolkata,Marine Drive
321,491,afternoon,Clear,82.5484,22.3975,Rural,Kolkata,Park Street
1878,371,night,Sunny,93.3298,25.078,Rural,Mumbai,Marine Drive
273,18,night,Rainy,70.2522,25.8333,Suburban,Ahmedabad,Juhu Beach
1453,87,evening,Rainy,78.3761,31.5092,Rural,Hyderabad,Park Street
1679,470,morning,Cloudy,71.571,23.8494,Urban,Chennai,Juhu Beach
1571,29,evening,Clear,84.2235,21.4067,Urban,Hyderabad,Marine Drive
1229,264,night,Sunny,92.2094,10.2826,Rural,Mumbai,MG Road
633,126,morning,Foggy,77.2876,34.7732,Rural,Bengaluru,MG Road
1154,349,morning,Cloudy,86.4059,8.7975,Suburban,Delhi,Connaught Place
129,72,afternoon,Cloudy,79.2056,15.8664,Urban,Kolkata,MG Road
1028,181,morning,Sunny,90.3263,11.2361,Urban,Ahmedabad,Marine Drive
947,325,night,Sunny,95.0399,36.2112,Suburban,Ahmedabad,Connaught Place
33,257,afternoon,Sunny,87.7753,12.6033,Suburban,Bengaluru,Marine Drive
1357,207,night,Clear,82.0976,36.8629,Rural,Chennai,Juhu Beach
1532,34,afternoon,Sunny,96.3385,25.5718,Suburban,Pune,Charminar
786,244,evening,Cloudy,86.5371,28.305,Urban,Bengaluru,Park Street
1633,55,afternoon,Rainy,86.3018,31.2539,Rural,Chennai,Connaught Place
1686,325,morning,Foggy,89.9439,31.0207,Rural,Delhi,Marine Drive
150,336,afternoon,Sunny,81.7085,19.6222,Suburban,Hyderabad,Marine Drive
1951,147,evening,Foggy,80.579,10.2262,Urban,Chennai,Juhu Beach
898,481,evening,Foggy,79.1543,22.0348,Suburban,Chennai,Juhu Beach
592,30,evening,Sunny,70.9375,28.3702,Rural,Pune,Park Street
334,485,evening,Rainy,74.6415,32.8167,Rural,Bengaluru,Marine Drive
794,395,afternoon,Cloudy,83.4162,21.1966,Rural,Ahmedabad,Juhu Beach
951,224,afternoon,Rainy,73.2271,23.4139,Urban,Kolkata,Connaught Place
1132,419,morning,Cloudy,78.3458,12.9977,Urban,Pune,Juhu Beach
1274,466,night,Clear,82.5976,16.6554,Suburban,Mumbai,Juhu Beach
845,419,morning,Sunny,87.6306,21.4309,Rural,Pune,Charminar
954,376,afternoon,Foggy,77.6157,32.58,Urban,Kolkata,Park Street
1199,184,evening,Foggy,69.8155,25.6578,Rural,Chennai,Charminar
1297,248,morning,Cloudy,71.2934,12.0046,Suburban,Ahmedabad,Marine Drive
396,159,afternoon,Rainy,94.2589,10.3674,Rural,Pune,Juhu Beach
1666,250,morning,Foggy,85.5624,24.2628,Suburban,Chennai,Park Street
1225,112,night,Sunny,71.1719,21.7423,Rural,Pune,Charminar
1459,71,morning,Clear,69.208,25.3405,Rural,Chennai,Juhu Beach
1790,284,morning,Rainy,86.0074,30.631,Urban,Ahmedabad,Marine Drive
385,7,afternoon,Clear,75.3357,30.8553,Suburban,Kolkata,Marine Drive
305,400,afternoon,Foggy,87.9556,10.1271,Rural,Kolkata,Park Street
123,224,afternoon,Sunny,84.1025,24.0387,Suburban,Mumbai,Connaught Place
1596,217,evening,Rainy,90.7624,23.3643,Urban,Ahmedabad,Park Street
1370,486,afternoon,Rainy,75.0102,21.644,Urban,Chennai,Marine Drive
1554,373,afternoon,Sunny,72.0142,14.8049,Urban,Pune,Juhu Beach
1970,263,morning,Rainy,77.3632,30.0789,Suburban,Hyderabad,Juhu Beach
1445,93,night,Rainy,83.3925,9.9231,Suburban,Kolkata,MG Road
756,243,afternoon,Sunny,79.7099,33.1715,Rural,Chennai,MG Road
1951,308,afternoon,Foggy,87.8099,12.1187,Suburban,Bengaluru,Park Street
1516,108,morning,Clear,93.4852,18.2216,Urban,Hyderabad,Connaught Place
1274,38,night,Clear,84.5174,22.9735,Suburban,Bengaluru,MG Road
1352,326,evening,Clear,78.9894,9.1672,Suburban,Ahmedabad,MG Road
407,235,morning,Foggy,70.1847,18.2816,Urban,Hyderabad,Marine Drive
1135,98,morning,Clear,85.1207,21.7553,Suburban,Ahmedabad,Connaught Place
626,49,evening,Sunny,71.683,21.2702,Urban,Chennai,MG Road
1829,481,morning,Sunny,94.9641,8.3242,Rural,Mumbai,Charminar
563,478,evening,Rainy,72.5104,19.1996,Suburban,Mumbai,Park Street
1014,404,morning,Clear,73.4003,24.2292,Suburban,Bengaluru,MG Road
588,483,night,Sunny,68.2017,31.9709,Suburban,Bengaluru,Juhu Beach
1011,4,night,Foggy,86.9807,14.4679,Urban,Ahmedabad,Marine Drive
909,383,morning,Cloudy,81.9137,9.3972,Urban,Chennai,Marine Drive
832,316,morning,Foggy,72.8401,8.4951,Rural,Pune,MG Road
1186,206,afternoon,Cloudy,72.0009,30.6365,Suburban,Hyderabad,Connaught Place
1942,155,night,Clear,90.6153,25.6016,Suburban,Bengaluru,Connaught Place
819,303,night,Rainy,76.7136,36.4223,Urban,Delhi,Marine Drive
418,483,night,Cloudy,69.5328,17.5655,Urban,Delhi,Juhu Beach
61,213,evening,Cloudy,85.4101,28.6555,Suburban,Pune,Marine Drive
40,5,afternoon,Foggy,71.7991,28.3704,Urban,Ahmedabad,Juhu Beach
1332,374,morning,Rainy,75.2458,24.6004,Rural,Kolkata,Connaught Place
547,366,evening,Cloudy,79.5611,18.5939,Suburban,Mumbai,Park Street
1104,473,afternoon,Clear,78.6316,26.007,Suburban,Hyderabad,MG Road
1820,341,evening,Sunny,89.0963,17.1069,Rural,Chennai,Charminar
650,176,evening,Clear,96.2086,25.8724,Suburban,Mumbai,MG Road
1900,297,evening,Foggy,72.2898,34.6745,Rural,Bengaluru,Charminar
362,434,afternoon,Sunny,80.3704,15.2909,Rural,Delhi,Marine Drive
638,258,evening,Sunny,72.5322,26.9818,Suburban,Kolkata,Marine Drive
887,180,afternoon,Clear,76.329,18.29,Rural,Kolkata,MG Road
371,266,evening,Clear,73.9915,34.5819,Urban,Mumbai,Charminar
1395,366,morning,Foggy,88.0478,34.2443,Rural,Chennai,Marine Drive
877,478,afternoon,Rainy,84.8704,34.0662,Urban,Bengaluru,Juhu Beach
1701,419,evening,Sunny,78.9718,34.5207,Rural,Pune,Charminar
1934,301,afternoon,Rainy,87.3474,22.8425,Suburban,Kolkata,Park Street
326,178,night,Clear,72.3452,14.4015,Rural,Hyderabad,Marine Drive
161,383,night,Sunny,92.8082,19.0695,Urban,Pune,MG Road
1600,187,evening,Cloudy,70.4526,33.7147,Suburban,Hyderabad,Connaught Place
