crime_rate,crowd_density,time_of_day,weather_condition_encoded,longitude,location_type,city_encoded,place_encoded,safety_score
912,362,morning,4,84.7228,Suburban,6,4,4.127859999999998
1302,157,evening,4,96.4834,Rural,0,0,3.55983
650,251,night,3,77.2364,Suburban,3,4,4.986179999999999
1582,198,night,4,68.7858,Suburban,7,1,4.582709999999999
947,321,morning,3,92.9562,Rural,7,4,3.7631900000000016
76,47,afternoon,1,81.1452,Suburban,4,0,5.77274
983,165,night,2,95.1669,Rural,5,4,3.928654999999999
677,4,morning,4,90.5615,Suburban,7,0,4.786925000000001
1932,401,night,0,96.8601,Suburban,3,0,2.4229949999999993
1427,494,night,1,89.2951,Rural,2,1,3.1202450000000006
1751,156,afternoon,2,72.2857,Rural,7,1,4.322715
253,422,afternoon,4,70.3829,Suburban,7,0,5.3838550000000005
445,481,afternoon,3,92.0988,Suburban,3,2,3.98806
668,416,afternoon,3,86.9012,Suburban,3,0,4.15494
1007,127,afternoon,3,69.3479,Suburban,0,2,5.271605000000001
1631,34,morning,3,90.8322,Rural,1,2,3.75939
33,335,morning,1,71.4539,Urban,1,3,5.724305
910,71,night,1,89.5365,Rural,2,1,4.471175
854,440,evening,2,89.3717,Urban,2,2,3.797415
488,192,evening,4,79.3792,Suburban,4,5,5.15904
578,228,afternoon,4,77.5769,Rural,3,4,5.087155000000001
420,41,night,0,73.7249,Urban,7,0,5.811754999999999
1525,26,evening,0,77.8638,Urban,1,1,4.5298099999999994
902,305,afternoon,0,73.2863,Suburban,5,5,4.823685000000001
1317,99,evening,2,70.0367,Rural,0,3,4.983165
1042,308,night,0,69.4979,Rural,3,4,4.8671050000000005
52,1,night,4,70.6646,Urban,7,2,6.41277
1044,12,night,3,69.7795,Rural,1,2,5.4430250000000004
1916,87,morning,4,68.0689,Rural,0,0,4.506554999999999
10,192,evening,1,71.0456,Rural,6,4,6.05372
1569,243,afternoon,4,83.0739,Rural,0,3,3.7913050000000013
297,48,evening,1,79.5077,Rural,0,2,5.631614999999999
97,213,morning,0,83.0931,Rural,3,5,5.322344999999999
1099,156,afternoon,3,90.4058,Urban,0,4,4.06871
500,308,morning,1,69.953,Suburban,6,4,5.38635
85,71,morning,1,68.1755,Urban,5,2,6.364224999999999
112,369,morning,0,74.0253,Rural,3,5,5.448735
1833,446,night,4,85.1438,Urban,4,4,3.017809999999999
951,210,morning,0,90.7816,Suburban,6,3,4.089919999999999
608,330,afternoon,1,82.8145,Urban,4,5,4.5912749999999996
740,424,morning,2,69.1862,Rural,3,5,4.952689999999999
356,32,evening,2,88.1934,Suburban,0,1,5.17033
479,20,morning,3,96.2913,Urban,1,4,4.666435000000001
552,1,afternoon,1,83.8089,Suburban,3,1,5.255555
210,488,afternoon,2,92.8139,Urban,6,1,4.173305
832,484,afternoon,0,88.317,Suburban,4,4,3.7841499999999995
131,232,evening,1,87.0407,Rural,1,5,5.0529649999999995
1277,271,morning,3,79.7344,Rural,4,3,4.194279999999999
1087,308,night,1,82.8636,Rural,0,5,4.1538200000000005
977,252,afternoon,4,69.4969,Suburban,0,4,5.044155
412,197,evening,4,81.2143,Rural,1,4,5.133284999999999
51,475,afternoon,1,69.632,Urban,0,4,5.5174
1888,277,morning,4,71.8071,Rural,0,3,3.967644999999999
170,88,afternoon,2,85.8465,Rural,2,0,5.361674999999999
959,81,evening,3,84.1857,Suburban,0,2,4.669714999999999
893,296,night,3,75.3614,Suburban,7,4,4.746929999999999
768,362,night,3,73.1388,Rural,6,4,4.851059999999999
1683,52,night,2,74.2154,Urban,5,5,4.502230000000001
709,327,night,2,94.9219,Rural,0,2,3.890905000000001
435,142,night,3,89.9932,Urban,1,3,4.781339999999998
991,63,night,0,76.1843,Urban,4,2,5.073785000000001
319,394,night,2,86.7449,Suburban,4,0,4.555754999999999
1705,396,night,0,91.767,Suburban,0,1,2.91465
28,374,afternoon,1,69.5277,Urban,0,2,5.747615
986,483,afternoon,0,73.9539,Urban,1,0,4.350305
687,417,morning,3,69.8401,Suburban,0,0,4.986995
946,177,night,2,94.2182,Rural,5,5,3.989090000000001
939,278,morning,3,88.7318,Suburban,6,1,4.068409999999998
1727,108,night,3,96.1237,Urban,5,1,3.2508150000000002
995,98,evening,3,90.5614,Rural,2,0,4.280930000000001
1183,13,morning,1,85.6823,Suburban,0,4,4.5068850000000005
1472,363,night,1,76.4134,Suburban,6,5,3.9813300000000007
125,265,night,4,93.8183,Rural,7,1,4.654085000000001
1564,215,evening,2,79.3857,Suburban,7,3,4.036715
326,99,afternoon,4,80.7608,Urban,3,0,5.437959999999999
458,455,night,1,72.2501,Rural,4,2,5.019494999999999
492,76,afternoon,4,87.9448,Urban,5,4,4.95876
541,315,morning,4,86.9129,Suburban,3,4,4.483354999999999
368,119,evening,1,70.378,Rural,3,0,5.8751
1731,191,afternoon,2,95.9924,Suburban,3,1,3.0873800000000005
1283,18,afternoon,2,72.6636,Rural,4,1,5.047820000000001
695,33,afternoon,3,91.8273,Urban,1,3,4.647634999999999
829,215,morning,3,81.1052,Suburban,2,1,4.68574
465,220,night,2,85.1965,Urban,6,0,4.8351750000000004
1336,71,night,3,96.3935,Rural,4,0,3.702325
59,163,evening,3,88.2938,Urban,7,5,5.20031
898,208,night,3,83.6903,Urban,7,2,4.501485
1334,89,evening,3,82.8605,Suburban,4,1,4.344974999999999
1330,127,night,4,88.2462,Rural,5,1,4.00369
349,93,night,3,69.3591,Urban,7,2,5.997045
1276,207,morning,4,78.6585,Urban,1,3,4.377075
1277,194,afternoon,1,84.4482,Suburban,5,3,4.112589999999999
383,379,night,0,86.2862,Rural,1,3,4.544690000000002
443,382,evening,2,75.6413,Rural,3,2,5.010935000000001
1402,3,evening,4,74.1346,Rural,7,1,4.8852699999999984
1007,128,evening,4,95.3865,Suburban,1,1,3.967675
1317,394,morning,0,94.7776,Urban,2,1,3.1561199999999987
1729,280,morning,4,71.8209,Rural,4,5,4.119955000000001
1666,384,morning,0,87.2855,Rural,6,3,3.2017249999999997
49,405,morning,2,89.1,Suburban,0,1,4.686
637,428,night,0,76.2168,Urban,0,1,4.696159999999999
1751,208,night,0,73.4865,Urban,4,0,4.158675
731,82,morning,0,79.2212,Rural,2,4,5.143940000000001
1005,145,night,2,87.9549,Urban,5,5,4.3072550000000005
1444,109,afternoon,0,70.8107,Suburban,5,1,4.797465000000001
1033,24,evening,3,77.2005,Rural,1,4,5.058975
208,88,evening,4,79.181,Suburban,7,1,5.65695
284,346,afternoon,3,71.4893,Urban,7,3,5.449534999999999
1449,320,evening,3,89.8266,Urban,6,3,3.41967
60,248,afternoon,2,87.6671,Suburban,6,1,5.060644999999998
238,441,morning,3,91.3295,Rural,5,4,4.313525000000001
1724,373,morning,0,71.9739,Rural,2,0,3.931304999999999
216,60,night,3,80.1441,Urban,7,1,5.656795000000002
1741,337,morning,0,68.4171,Urban,5,4,4.1641449999999995
686,78,night,0,76.6871,Rural,5,4,5.323644999999999
1110,227,evening,4,77.073,Urban,4,3,4.58235
191,141,afternoon,3,90.0906,Rural,4,2,5.022469999999999
144,383,morning,4,68.1017,Rural,3,4,5.684915
280,89,evening,4,93.8645,Rural,2,5,4.848774999999999
1778,280,morning,4,95.4791,Urban,4,2,2.888044999999999
1782,375,afternoon,3,77.7392,Suburban,1,2,3.58104
80,370,evening,0,71.7385,Urban,3,3,5.593074999999999
1109,500,morning,0,93.3785,Suburban,2,0,3.2220749999999994
1119,218,evening,4,93.4905,Urban,2,2,3.7704750000000002
494,25,morning,1,82.9665,Suburban,3,1,5.307675
1496,252,afternoon,4,84.7413,Suburban,3,2,3.7629349999999997
731,286,night,4,78.2894,Suburban,7,1,4.7825299999999995
19,280,evening,1,90.9715,Suburban,3,5,4.872424999999999
616,274,night,4,71.1033,Suburban,4,4,5.280835
1033,285,evening,0,89.8025,Rural,3,2,3.9068750000000003
721,59,morning,3,69.375,Urban,6,3,5.69225
1738,250,morning,0,76.2891,Rural,3,0,3.947545
306,234,night,4,76.664,Rural,7,0,5.392800000000001
1959,359,morning,1,71.2591,Suburban,5,1,3.760045
1104,211,morning,0,83.4009,Suburban,0,0,4.303955
432,23,evening,2,84.9178,Urban,3,1,5.27611
88,191,evening,1,85.9164,Rural,0,2,5.234180000000001
1697,273,afternoon,3,71.2546,Rural,1,0,4.19427
756,11,morning,3,92.3385,Suburban,5,4,4.605074999999999
1124,60,morning,2,81.4386,Suburban,5,2,4.68407
205,312,evening,2,96.8557,Urban,4,1,4.328214999999999
1006,180,evening,1,81.38,Rural,0,2,4.565
1518,428,night,4,73.976,Suburban,2,1,3.927199999999999
1181,12,afternoon,3,73.4723,Suburban,4,4,5.121385
36,16,night,3,83.8781,Urban,1,2,5.738095
1299,382,night,2,70.9644,Urban,6,3,4.388780000000001
832,484,night,3,73.683,Urban,2,4,4.515849999999999
128,440,night,2,82.8924,Rural,5,0,4.847379999999999
1927,246,night,4,94.5894,Urban,5,0,2.8515300000000003
903,58,morning,2,83.5983,Urban,3,0,4.801085
466,188,afternoon,3,73.228,Urban,0,4,5.496600000000001
424,95,evening,0,88.8136,Rural,5,4,4.9453200000000015
797,375,afternoon,1,68.5596,Urban,5,2,5.02502
1496,456,night,3,89.0523,Suburban,4,0,3.139384999999999
1845,386,night,3,93.1177,Urban,7,2,2.7271149999999986
1151,363,morning,4,91.9357,Suburban,6,4,3.5262150000000014
593,331,night,3,89.1545,Rural,3,0,4.287274999999999
174,319,night,2,88.2086,Urban,5,1,4.77757
1527,203,evening,1,86.6595,Suburban,1,0,3.734024999999998
1605,147,night,1,94.7481,Urban,2,2,3.3635949999999992
303,497,evening,4,78.1218,Rural,4,3,4.79691
738,20,afternoon,1,69.645,Urban,3,3,5.739750000000001
38,23,night,1,75.4749,Rural,4,3,6.1422550000000005
192,330,morning,4,82.5061,Urban,2,4,5.022695
1644,250,evening,3,80.2713,Suburban,5,1,3.842435
653,209,evening,4,91.1096,Urban,5,0,4.37352
847,98,morning,2,76.2111,Suburban,2,3,5.146445
105,237,morning,2,95.5655,Rural,7,5,4.6427249999999995
646,241,evening,3,70.8215,Rural,2,4,5.330925
954,29,night,0,84.4115,Urban,6,4,4.767424999999999
1014,237,afternoon,0,94.5937,Suburban,0,2,3.7823150000000005
33,320,afternoon,3,79.0579,Rural,4,2,5.374105
1358,300,evening,2,73.4023,Urban,3,4,4.371885
1276,210,afternoon,1,78.4081,Suburban,5,3,4.383595
1784,102,evening,1,86.3943,Urban,4,1,3.6922849999999983
1743,453,night,2,87.6746,Suburban,4,4,2.96727
549,424,evening,4,76.7268,Urban,3,2,4.76666
186,53,evening,3,88.8008,Urban,5,1,5.26796
1508,7,afternoon,0,70.9833,Urban,3,2,4.928835000000001
396,472,afternoon,0,85.1554,Rural,4,1,4.4022299999999985
236,453,morning,3,68.9816,Urban,4,3,5.408919999999998
1883,159,night,2,76.1667,Urban,4,3,3.990665000000001
1788,305,evening,2,81.0941,Suburban,0,4,3.547294999999999
1013,56,night,0,83.4805,Suburban,3,3,4.700975
355,46,night,3,86.147,Suburban,4,2,5.245649999999999
895,17,morning,1,83.9339,Suburban,6,1,4.874305
1218,468,afternoon,1,75.2861,Urban,6,5,4.081695
497,499,evening,4,83.9907,Suburban,3,2,4.305465000000001
1942,224,afternoon,3,69.9747,Urban,5,4,4.1112649999999995
1768,180,night,2,93.9136,Rural,2,4,3.1763199999999987
839,215,afternoon,3,71.0932,Urban,5,4,5.17634
1769,321,evening,4,82.9589,Rural,6,1,3.4410549999999995
41,13,afternoon,1,86.6423,Rural,6,1,5.600884999999999
929,388,morning,1,87.9583,Urban,4,5,3.8970849999999997
1475,340,night,4,68.6058,Rural,1,2,4.41471
46,478,afternoon,3,89.2051,Urban,0,5,4.537745000000001
503,177,afternoon,3,69.1217,Suburban,2,2,5.686915000000001
963,205,night,2,72.65,Urban,4,0,4.9945
196,488,afternoon,4,71.0229,Rural,3,1,5.276854999999999
670,99,night,3,82.545,Urban,5,1,5.00475
541,211,afternoon,0,72.6458,Rural,4,2,5.40471
715,92,afternoon,2,78.521,Urban,1,4,5.174950000000001
1294,142,evening,2,83.9313,Urban,6,1,4.225434999999999
1985,15,evening,4,75.7584,Suburban,2,5,4.197080000000001
199,260,night,3,69.936,Urban,1,1,5.7842
115,121,afternoon,0,95.8986,Suburban,0,5,4.848070000000001
686,240,afternoon,3,82.4029,Suburban,3,1,4.713855
823,127,evening,3,76.7756,Urban,2,2,5.08422
940,54,night,0,96.7059,Urban,5,4,4.116705
321,491,afternoon,0,82.5484,Rural,5,5,4.569580000000001
1878,371,night,4,93.3298,Rural,6,4,2.7135099999999994
273,18,night,3,70.2522,Suburban,0,2,6.17839
1453,87,evening,3,78.3761,Rural,4,5,4.454195000000001
1679,470,morning,1,71.571,Urban,2,2,3.8024499999999994
1571,29,evening,0,84.2235,Urban,4,4,4.1598250000000005
1229,264,night,4,92.2094,Rural,6,3,3.63253
633,126,morning,2,77.2876,Rural,1,3,5.25062
1154,349,morning,1,86.4059,Suburban,3,1,3.827704999999999
129,72,afternoon,1,79.2056,Urban,5,3,5.766719999999999
1028,181,morning,4,90.3263,Urban,0,4,4.093684999999999
947,325,night,4,95.0399,Suburban,0,1,3.6510050000000005
33,257,afternoon,4,87.7753,Suburban,1,4,5.064235000000001
1357,207,night,0,82.0976,Rural,2,2,4.1241200000000005
1532,34,afternoon,4,96.3385,Suburban,7,0,3.583075
786,244,evening,1,86.5371,Urban,1,5,4.399145000000001
1633,55,afternoon,3,86.3018,Rural,2,1,3.941910000000001
1686,325,morning,2,89.9439,Rural,3,4,3.166804999999999
150,336,afternoon,4,81.7085,Suburban,4,4,5.092574999999999
1951,147,evening,2,80.579,Urban,2,2,3.72605
898,481,evening,2,79.1543,Suburban,2,2,4.182285
592,30,evening,4,70.9375,Rural,7,5,5.801124999999999
334,485,evening,3,74.6415,Rural,1,4,4.963925
794,395,afternoon,1,83.4162,Rural,0,2,4.24519
951,224,afternoon,3,73.2271,Urban,5,1,4.939644999999999
1132,419,morning,1,78.3458,Urban,7,2,4.112710000000002
1274,466,night,0,82.5976,Suburban,6,2,3.6641199999999987
845,419,morning,4,87.6306,Rural,7,0,3.9354699999999996
954,376,afternoon,2,77.6157,Urban,5,5,4.413214999999998
1199,184,evening,2,69.8155,Rural,2,0,4.942225
1297,248,morning,1,71.2934,Suburban,0,4,4.6423299999999985
396,159,afternoon,3,94.2589,Rural,7,2,4.573054999999999
1666,250,morning,2,85.5624,Suburban,2,5,3.5558799999999993
1225,112,night,4,71.1719,Rural,7,0,4.992405
1459,71,morning,0,69.208,Rural,2,2,4.938600000000001
1790,284,morning,3,86.0074,Urban,0,4,3.341630000000001
385,7,afternoon,0,75.3357,Suburban,5,4,5.834215
305,400,afternoon,2,87.9556,Rural,5,5,4.4972199999999996
123,224,afternoon,4,84.1025,Suburban,6,1,5.223875
1596,217,evening,3,90.7624,Urban,0,5,3.4318799999999996
1370,486,afternoon,3,75.0102,Urban,2,4,3.9074899999999992
1554,373,afternoon,4,72.0142,Urban,7,2,4.099289999999999
1970,263,morning,3,77.3632,Suburban,4,2,3.635839999999999
1445,93,night,3,83.3925,Suburban,5,3,4.199375
756,243,afternoon,4,79.7099,Rural,2,3,4.772504999999999
1951,308,afternoon,2,87.8099,Suburban,1,5,3.0425049999999993
1516,108,morning,0,93.4852,Urban,4,1,3.5937400000000004
1274,38,night,0,84.5174,Suburban,1,3,4.424129999999999
1352,326,evening,0,78.9894,Suburban,0,3,4.046529999999999
407,235,morning,2,70.1847,Urban,4,4,5.613764999999999
1135,98,morning,0,85.1207,Suburban,0,1,4.412965000000001
626,49,evening,4,71.683,Urban,2,3,5.691849999999999
1829,481,morning,4,94.9641,Rural,6,0,2.460794999999999
563,478,evening,3,72.5104,Suburban,6,5,4.85548
1014,404,morning,0,73.4003,Suburban,1,3,4.507985000000001
588,483,night,4,68.2017,Suburban,1,2,5.035915000000001
1011,4,night,2,86.9807,Urban,0,4,4.631965000000002
909,383,morning,1,81.9137,Urban,2,4,4.229314999999999
832,316,morning,2,72.8401,Rural,7,3,4.8939949999999985
1186,206,afternoon,1,72.0009,Suburban,4,1,4.8019549999999995
1942,155,night,0,90.6153,Suburban,1,1,3.2172349999999996
819,303,night,3,76.7136,Urban,3,4,4.739319999999999
418,483,night,1,69.5328,Urban,3,2,5.139360000000002
61,213,evening,1,85.4101,Suburban,7,4,5.242495
40,5,afternoon,2,71.7991,Urban,0,2,6.360045000000001
1332,374,morning,3,75.2458,Rural,5,1,4.157709999999999
547,366,evening,1,79.5611,Suburban,6,5,4.742945000000001
1104,473,afternoon,0,78.6316,Suburban,4,3,4.018420000000001
1820,341,evening,4,89.0963,Rural,2,0,3.0431849999999994
650,176,evening,0,96.2086,Suburban,6,3,4.187569999999999
1900,297,evening,2,72.2898,Rural,1,0,3.8915099999999994
362,434,afternoon,4,80.3704,Rural,3,4,4.751479999999999
638,258,evening,4,72.5322,Suburban,5,4,5.21939
887,180,afternoon,0,76.329,Rural,5,3,4.93655
371,266,evening,0,73.9915,Urban,6,0,5.397424999999999
1395,366,morning,2,88.0478,Rural,2,4,3.4706100000000006
877,478,afternoon,3,84.8704,Urban,1,2,3.9234799999999996
1701,419,evening,4,78.9718,Rural,7,0,3.512409999999999
1934,301,afternoon,3,87.3474,Suburban,5,5,3.09663
326,178,night,0,72.3452,Rural,4,4,5.70074
161,383,night,4,92.8082,Urban,7,3,4.43259
1600,187,evening,1,70.4526,Suburban,4,1,4.503369999999999
1937,184,morning,2,96.8956,Urban,1,3,2.85022
1432,389,evening,3,76.3488,Suburban,0,3,3.972559999999999
381,358,evening,1,84.7238,Rural,2,1,4.666810000000001
1287,485,evening,1,94.7338,Urban,2,5,3.006310000000001
1989,405,morning,2,83.4432,Suburban,3,3,3.028839999999998
1144,243,morning,1,77.5668,Suburban,4,1,4.4916599999999995
299,263,night,3,92.0744,Urban,6,2,4.571280000000001
1099,499,morning,1,94.3276,Rural,5,1,3.1866199999999996
107,356,night,4,82.8967,Rural,0,2,5.036165000000001
1273,239,afternoon,2,72.2956,Suburban,2,0,4.634220000000001
833,208,afternoon,0,87.0586,Rural,4,5,4.39807
125,460,night,3,74.6737,Rural,4,0,5.221315000000001
340,323,morning,0,69.0067,Urban,2,4,5.563664999999999
979,53,evening,4,84.3823,Suburban,7,4,4.6958850000000005
1850,267,morning,2,78.9634,Suburban,3,3,3.667830000000001
570,225,evening,3,92.5128,Rural,2,5,4.354360000000001
1260,472,evening,2,93.3495,Suburban,3,2,3.128525
634,454,evening,0,81.3092,Urban,2,0,4.3925399999999994
10,267,night,4,93.1881,Suburban,4,1,4.796594999999999
188,463,evening,3,80.0578,Suburban,3,5,4.883109999999999
1201,44,morning,2,77.5815,Suburban,0,3,4.831925
1626,186,morning,2,76.6293,Suburban,3,1,4.170535000000001
887,426,evening,0,85.7098,Rural,2,3,3.975509999999999
1366,374,morning,3,96.2517,Suburban,6,0,3.073415
189,431,night,4,89.9263,Suburban,5,0,4.452685
1574,5,morning,2,87.2416,Suburban,0,2,4.05392
1992,154,afternoon,3,95.2694,Suburban,1,1,2.9365299999999985
929,19,morning,2,95.0762,Urban,5,2,4.279189999999999
554,372,night,2,68.6183,Rural,2,0,5.271084999999999
1940,452,afternoon,4,92.4783,Suburban,5,2,2.5320850000000004
790,345,morning,1,93.3265,Suburban,6,3,3.8536750000000017
10,72,afternoon,2,83.0031,Urban,5,1,5.695844999999999
409,436,afternoon,4,73.5991,Rural,2,0,5.039044999999999
853,311,night,2,70.1509,Urban,4,1,5.017455
1731,21,night,1,93.4127,Rural,1,0,3.5563650000000004
1571,292,evening,1,84.2429,Rural,7,3,3.632855
649,205,night,2,95.2285,Urban,7,2,4.179574999999999
372,311,afternoon,0,73.0334,Rural,6,3,5.35433
190,471,afternoon,4,94.3429,Rural,2,0,4.150855
494,67,morning,0,76.1638,Rural,2,5,5.56381
1971,285,night,0,73.8923,Suburban,4,1,3.764384999999999
487,195,evening,2,76.3078,Rural,0,4,5.307609999999999
1918,71,afternoon,0,94.732,Urban,7,2,3.2034000000000002
1864,341,afternoon,3,78.2419,Urban,0,0,3.5419049999999985
389,233,evening,4,70.353,Urban,6,5,5.627350000000002
1018,341,night,2,92.9421,Urban,0,4,3.652894999999999
90,13,morning,2,91.6642,Rural,7,5,5.30079
736,262,evening,1,71.6347,Urban,0,3,5.158264999999998
1095,192,night,1,73.1653,Urban,3,1,4.862734999999999
331,164,evening,1,75.5113,Rural,5,2,5.565435000000001
893,109,night,4,94.9923,Suburban,6,2,4.139384999999999
1305,199,afternoon,0,71.8738,Suburban,5,5,4.70331
241,140,morning,3,79.2929,Rural,3,1,5.514355
1536,214,morning,0,94.6716,Urban,3,2,3.3024199999999997
948,158,morning,4,75.9413,Urban,5,5,4.938934999999999
1992,272,evening,2,69.451,Suburban,5,4,3.9914499999999986
1695,74,night,2,92.3126,Rural,4,0,3.5413699999999997
312,184,morning,4,75.7586,Suburban,5,4,5.53207
229,76,evening,0,95.9534,Urban,5,3,4.8213300000000014
1700,349,evening,0,80.3973,Urban,7,0,3.582135
1002,134,night,2,91.8923,Urban,3,5,4.1353849999999985
808,133,night,3,70.8288,Urban,4,2,5.3845600000000005
268,383,night,2,94.6685,Suburban,0,1,4.232575
1380,430,night,2,89.1857,Rural,7,5,3.3007149999999985
1900,61,afternoon,3,68.6664,Suburban,1,5,4.54468
1781,381,afternoon,3,75.9222,Urban,1,3,3.6608899999999984
793,437,morning,1,94.746,Suburban,7,2,3.5957
735,399,afternoon,1,82.3153,Rural,3,0,4.351235000000001
932,104,afternoon,1,92.3819,Suburban,5,4,4.240904999999999
1742,426,night,0,73.6563,Rural,0,4,3.7231849999999986
165,217,night,1,86.4424,Rural,2,5,5.078880000000001
1607,259,afternoon,4,76.6729,Suburban,7,1,4.041355000000001
1539,303,afternoon,1,76.5702,Urban,1,4,4.026490000000001
843,371,evening,1,72.919,Suburban,2,3,4.769049999999999
1055,312,night,0,89.7014,Rural,0,2,3.8359299999999994
674,426,afternoon,2,69.5258,Urban,5,2,4.99771
1826,410,afternoon,3,88.4192,Rural,3,4,2.933039999999999
160,193,morning,0,69.1076,Urban,0,2,5.998620000000001
1575,418,night,3,73.9942,Urban,2,4,3.88929
352,282,morning,1,81.8175,Rural,0,0,4.993125
537,280,evening,1,82.6864,Suburban,1,0,4.768679999999998
292,132,afternoon,2,78.2123,Suburban,1,4,5.533385000000001
694,247,afternoon,2,84.6267,Suburban,2,2,4.580664999999999
1972,19,evening,2,95.4542,Urban,5,1,3.21729
412,468,afternoon,3,70.7125,Rural,3,4,5.116374999999999
1118,414,morning,3,86.7667,Rural,3,3,3.7156650000000004
1931,88,afternoon,3,82.2324,Suburban,2,0,3.7813799999999986
591,90,morning,4,79.5885,Rural,2,1,5.249575000000001
277,269,afternoon,3,83.8104,Rural,0,4,4.99448
1724,396,night,0,75.2703,Rural,5,0,3.7204849999999996
834,382,morning,0,90.5546,Urban,1,5,3.874270000000001
1273,354,afternoon,3,81.7562,Rural,2,0,3.93119
1924,442,evening,0,85.945,Rural,5,3,2.89475
1377,287,evening,1,79.8575,Suburban,6,5,4.056125
1054,472,morning,0,73.6002,Suburban,0,4,4.321989999999999
1485,275,afternoon,1,79.3469,Rural,5,3,3.9976550000000004
1065,100,morning,1,70.5662,Urban,2,0,5.206690000000002
84,487,afternoon,0,94.4211,Rural,0,3,4.220945
554,488,afternoon,2,78.5373,Suburban,2,0,4.543134999999999
1604,294,evening,4,75.854,Suburban,0,3,4.015300000000001
1097,217,afternoon,0,68.7485,Urban,7,0,5.031575
1137,279,night,0,94.0766,Suburban,5,0,3.6011699999999998
853,164,evening,0,70.6559,Urban,3,0,5.286205000000001
49,487,evening,2,93.4311,Rural,5,1,4.305445
1473,56,morning,1,69.2741,Urban,0,2,4.951294999999998
1309,416,morning,4,94.9264,Suburban,2,1,3.112680000000001
