crime_rate,crowd_density,time_of_day,weather_condition_encoded,longitude,location_type,city_encoded,place_encoded,safety_score
1.67,4.84,15,1,77.8917,1,8,19,10.0
9.36,2.78,14,2,77.7467,2,9,13,4.55
4.99,4.49,7,2,77.1229,1,3,14,8.42
7.2,9.05,10,0,77.1836,1,3,8,4.41
8.85,9.17,13,1,77.556,0,5,6,5.9
2.34,7.7,9,2,77.7231,1,6,19,8.33
8.88,4.09,23,1,77.8419,1,10,20,4.28
8.5,2.02,16,0,77.462,0,9,10,3.38
4.97,2.5,15,0,77.4235,0,3,2,4.84
0.24,4.26,11,0,77.0937,2,9,19,9.42
3.61,5.56,6,0,77.0294,1,7,15,7.61
4.07,3.99,11,0,77.0732,0,9,11,7.03
7.49,3.47,21,0,77.0836,1,9,3,3.86
4.44,0.53,3,0,77.9114,2,1,10,1.3
0.94,1.36,5,1,77.3223,1,0,9,5.19
8.21,8.0,17,2,77.1798,0,6,8,5.32
6.91,0.1,12,0,77.4999,1,10,12,4.46
2.76,8.41,9,1,77.177,0,4,2,7.74
7.48,0.08,16,0,77.0672,0,1,1,4.39
9.3,0.68,19,0,77.3743,2,6,0,1.94
3.66,2.83,7,1,77.4505,1,2,18,6.73
7.91,5.39,16,2,77.5674,1,4,0,8.52
1.2,5.56,3,0,77.9664,1,8,0,5.64
8.86,8.98,17,2,77.8601,1,6,19,5.49
3.41,1.93,22,1,77.9818,2,10,10,2.74
4.67,3.8,21,1,77.7282,1,1,1,4.9
5.99,4.5,12,2,77.9311,1,6,15,8.93
3.62,3.47,7,0,77.9339,1,10,12,8.18
5.92,1.11,3,2,77.9061,0,3,17,2.42
1.63,3.46,23,0,77.0633,0,9,2,6.47
5.96,4.55,11,2,77.8568,1,1,2,7.7
0.56,8.3,7,2,77.0196,0,3,15,9.11
4.36,0.57,4,0,77.7334,0,7,14,2.25
9.27,0.89,2,0,77.6588,2,7,0,0.0
7.22,2.6,15,2,77.9101,1,7,5,5.86
4.77,4.67,3,2,77.734,0,5,10,5.86
4.66,5.38,5,2,77.5737,0,10,8,6.86
8.83,3.15,2,2,77.1089,1,8,0,5.07
2.04,7.38,12,1,77.9402,1,8,7,7.96
3.31,7.92,0,0,77.6143,2,0,19,3.27
8.41,3.02,14,1,77.2394,1,0,9,8.47
7.96,1.73,12,0,77.9931,1,5,16,3.39
6.64,9.84,19,0,77.4553,0,7,14,3.8
6.43,8.58,8,2,77.0191,0,6,15,6.28
7.96,1.34,10,1,77.7786,1,2,19,3.41
5.21,8.35,5,1,77.414,1,10,8,3.39
4.19,8.12,11,2,77.9245,0,2,5,7.32
0.69,4.32,0,0,77.801,1,0,3,7.59
5.45,9.47,14,1,77.2491,1,5,13,6.42
4.45,5.0,20,1,77.0061,1,6,8,6.19
9.41,0.88,22,0,77.9688,2,0,12,0.12
5.35,8.53,17,1,77.1088,2,5,17,7.53
5.71,2.48,2,1,77.3688,2,5,7,2.7
0.48,2.48,21,2,77.2596,1,3,14,4.76
1.81,4.84,15,0,77.8577,1,3,12,9.65
5.14,4.87,22,1,77.6613,2,5,4,4.5
1.65,6.75,6,1,77.2882,2,0,20,9.76
4.91,0.01,2,1,77.3744,0,2,0,3.27
1.42,3.42,8,2,77.855,0,3,19,10.0
8.13,1.99,8,0,77.5852,0,4,15,1.98
2.62,9.45,21,1,77.7607,1,9,3,4.82
2.98,3.66,20,0,77.9911,1,0,12,5.38
5.8,9.54,3,1,77.0598,2,0,9,2.36
3.06,5.91,21,1,77.6175,0,9,19,6.2
4.2,3.84,17,2,77.187,0,1,4,10.0
7.33,3.74,11,1,77.6533,0,10,16,6.8
2.66,4.87,23,2,77.876,2,1,8,7.32
2.28,0.72,20,2,77.7058,1,2,2,4.29
1.04,2.14,7,0,77.6189,2,5,16,6.52
2.97,5.86,7,1,77.7569,2,6,16,9.59
5.94,4.88,1,1,77.409,2,6,17,4.11
3.85,1.01,6,1,77.5418,1,3,0,5.73
5.3,0.56,2,1,77.7353,0,2,4,1.71
9.67,9.77,13,0,77.7033,0,8,3,4.3
3.4,9.9,10,0,77.2212,1,5,20,5.32
0.51,1.92,11,2,77.2601,1,1,8,8.94
5.64,3.79,17,0,77.8855,0,7,11,8.23
0.06,3.71,23,0,77.3482,2,9,11,7.6
0.97,6.96,18,2,77.1176,0,9,9,10.0
1.16,0.28,12,0,77.3395,2,6,0,6.65
3.48,4.76,4,0,77.372,0,10,3,4.53
6.15,8.56,18,0,77.9873,0,8,3,4.32
3.77,5.02,20,1,77.5532,1,1,1,6.07
6.29,4.56,17,2,77.1133,0,2,16,9.92
5.85,9.08,19,2,77.6125,1,0,8,5.62
6.8,4.53,8,2,77.54,0,8,20,8.23
6.47,0.05,11,1,77.4934,1,7,18,5.61
9.18,2.65,20,1,77.0801,1,10,16,0.96
6.4,9.49,22,1,77.1135,1,4,20,1.88
3.4,5.36,11,0,77.2951,0,9,15,8.82
8.35,6.33,3,1,77.3069,2,4,4,4.5
6.15,3.26,19,0,77.3304,1,4,16,6.97
9.93,2.44,5,2,77.7704,0,1,0,0.0
1.18,9.88,0,1,77.9792,0,0,10,4.6
8.44,1.41,8,0,77.0238,1,2,1,2.1
7.12,7.46,21,2,77.6844,0,6,20,1.7
5.89,9.79,18,2,77.5348,0,1,11,5.38
0.42,2.14,20,2,77.4384,2,6,19,6.08
5.13,5.9,16,0,77.3585,1,2,6,9.43
4.24,2.75,21,0,77.9697,1,10,12,0.99
5.29,5.43,15,1,77.2059,0,7,0,10.0
8.6,0.65,15,0,77.3047,1,7,4,3.77
2.89,2.21,11,1,77.0924,2,10,16,6.86
3.99,7.45,18,1,77.5618,2,3,5,6.77
5.78,4.08,23,0,77.5582,0,0,10,3.58
6.89,9.88,20,2,77.9401,1,8,14,3.17
6.2,8.15,6,1,77.4049,2,1,13,4.79
2.74,5.01,9,2,77.8148,2,10,6,9.83
4.63,8.47,20,2,77.1165,0,5,15,4.4
3.33,1.21,0,1,77.2522,2,6,10,3.25
2.71,3.63,14,0,77.1885,2,0,1,9.51
1.91,0.98,2,1,77.7746,2,7,10,4.5
2.91,0.06,13,0,77.5333,0,5,13,6.2
4.29,5.51,15,2,77.5085,1,10,14,10.0
7.12,6.35,17,0,77.1617,0,1,18,7.14
0.12,5.84,16,1,77.5918,0,2,8,10.0
6.34,4.31,12,1,77.771,2,0,2,9.51
6.69,0.06,12,0,77.8408,0,2,13,5.47
2.41,3.81,6,1,77.317,1,1,7,10.0
4.44,5.38,4,1,77.7558,1,5,3,5.85
8.36,6.42,2,2,77.8484,2,3,4,4.97
8.63,2.71,2,2,77.3891,2,8,10,0.88
6.03,0.94,3,2,77.6946,2,5,9,2.05
0.65,4.04,0,1,77.6455,2,3,5,8.1
5.21,4.01,18,2,77.2757,2,6,14,9.66
7.42,3.46,19,0,77.8271,2,1,20,6.13
8.35,9.79,18,2,77.5274,2,2,1,5.29
6.78,9.5,18,2,77.1315,0,1,19,5.83
7.06,9.69,6,2,77.8567,1,10,4,5.03
3.91,8.88,19,2,77.0801,0,5,19,7.34
5.59,9.36,1,0,77.5461,0,5,9,1.53
0.17,9.18,9,0,77.0329,0,8,7,6.8
3.46,6.44,9,1,77.3479,1,6,4,9.02
1.18,8.36,9,1,77.7321,0,10,3,7.2
9.14,2.33,20,2,77.4493,1,9,15,0.61
7.28,2.37,23,2,77.328,2,8,10,1.14
2.85,5.86,5,2,77.0986,2,0,2,7.35
5.01,9.8,1,0,77.1895,0,6,12,2.37
2.87,5.96,6,1,77.8418,1,1,16,9.28
2.25,3.37,22,1,77.7137,0,9,5,6.22
9.32,4.84,9,2,77.886,0,10,4,7.19
8.67,6.14,21,0,77.0548,1,7,16,2.78
1.83,5.64,20,2,77.5171,1,4,20,8.34
0.9,6.09,5,0,77.6419,1,9,9,6.55
2.78,4.06,22,1,77.7119,0,2,3,7.02
6.99,1.89,19,1,77.8289,0,0,0,4.41
5.02,7.51,22,2,77.9259,1,2,19,4.38
2.84,1.92,19,0,77.6546,1,6,7,5.75
4.71,6.8,14,2,77.6017,2,8,4,10.0
2.67,3.38,14,1,77.1612,1,4,1,10.0
8.67,9.8,12,2,77.7745,2,10,19,5.92
3.28,5.46,16,2,77.5142,0,2,2,10.0
2.13,2.74,17,1,77.5023,0,7,1,8.75
5.6,1.93,4,0,77.7611,0,0,13,1.08
6.77,6.56,9,2,77.142,1,2,20,7.88
6.38,3.03,17,0,77.3597,0,3,11,8.68
3.65,3.05,4,1,77.7224,2,9,4,5.59
8.51,7.77,1,1,77.1816,2,5,9,0.95
7.2,2.12,3,2,77.3978,1,1,1,0.97
1.07,7.52,19,2,77.8195,0,9,5,8.49
2.08,7.24,18,1,77.4762,2,2,20,7.58
2.4,2.12,20,1,77.3146,1,0,3,2.94
9.56,7.36,7,0,77.2003,0,0,0,2.72
8.42,2.63,20,2,77.3863,2,5,20,1.26
7.9,0.95,5,1,77.8476,1,2,2,0.38
9.32,1.15,4,1,77.8975,0,8,13,0.04
8.98,1.17,6,1,77.0879,2,0,1,3.35
4.19,5.45,22,2,77.6283,1,7,2,6.97
9.86,7.79,17,2,77.1711,2,2,18,5.5
9.28,1.93,3,0,77.2041,0,6,11,0.0
1.7,2.5,22,1,77.3705,2,4,6,3.73
6.51,4.88,0,0,77.7987,0,3,2,4.15
7.01,3.98,19,2,77.1498,2,0,11,8.43
4.46,2.65,3,2,77.8199,1,2,2,3.07
3.64,8.68,20,1,77.0978,0,3,19,4.28
2.84,9.66,11,1,77.3816,2,5,12,8.03
1.22,2.0,7,1,77.2391,2,9,5,6.79
0.14,8.9,20,0,77.7526,0,5,8,3.51
1.9,3.09,7,0,77.3606,0,10,7,8.6
6.38,9.94,8,1,77.0068,0,5,7,4.81
0.78,0.62,7,1,77.1767,2,10,3,8.13
4.95,7.36,18,2,77.4326,1,10,7,7.4
8.83,4.18,17,2,77.1594,2,9,17,7.47
5.48,5.57,3,0,77.2502,2,6,12,3.29
4.79,9.69,23,1,77.4184,1,4,13,2.37
9.93,8.0,6,2,77.4839,0,5,9,3.78
1.4,5.76,11,1,77.1552,1,3,1,9.5
2.54,6.52,20,1,77.4041,1,1,10,7.7
8.48,0.55,6,1,77.9803,0,5,12,2.84
2.19,8.55,23,0,77.1864,0,10,9,3.68
4.79,6.72,3,0,77.5156,0,8,3,5.39
1.61,5.11,1,0,77.0023,2,6,1,6.52
3.42,1.59,6,0,77.6939,1,2,0,5.37
1.14,3.59,7,2,77.4711,0,3,19,10.0
1.84,1.61,19,1,77.894,1,1,16,7.09
1.84,6.25,15,2,77.4787,0,1,19,10.0
7.2,3.07,4,2,77.0424,0,6,9,4.84
6.8,6.48,23,2,77.4287,1,8,5,5.98
1.64,2.85,10,0,77.1501,0,6,15,5.49
7.54,0.15,17,0,77.5642,1,4,13,3.59
3.11,4.69,9,1,77.0696,0,5,17,10.0
0.48,0.77,20,0,77.8168,1,1,16,4.68
0.35,7.21,17,2,77.3586,2,4,13,10.0
1.59,0.47,11,2,77.5444,2,0,20,7.64
9.03,2.41,11,2,77.9803,0,5,13,4.89
7.42,4.75,16,1,77.0434,2,5,12,8.34
3.25,1.76,16,0,77.9796,1,3,4,7.33
1.59,6.3,19,1,77.6242,1,7,9,10.0
3.91,0.1,15,1,77.8441,0,10,14,6.46
0.75,3.92,6,1,77.1775,1,1,11,10.0
7.66,8.75,11,0,77.1233,0,9,7,4.18
4.71,7.61,6,1,77.9805,0,7,5,6.54
0.97,5.57,8,1,77.2866,2,3,4,9.66
9.9,3.13,15,2,77.4441,0,10,15,7.06
9.38,4.68,21,0,77.5859,1,9,15,2.08
7.53,0.86,16,2,77.7159,1,9,3,6.46
7.35,7.26,18,0,77.1585,0,10,6,4.59
9.24,3.38,8,1,77.7701,2,10,10,6.12
8.32,7.91,5,2,77.9198,2,6,13,2.09
5.87,5.41,9,2,77.1737,2,9,5,8.32
2.03,7.44,0,2,77.1962,0,3,17,4.98
1.2,3.26,22,2,77.1347,2,9,15,7.36
2.09,3.74,0,1,77.4511,0,7,19,7.92
0.54,8.64,16,2,77.1586,1,6,7,8.94
7.88,3.33,14,1,77.4264,1,2,12,7.25
0.98,8.34,3,0,77.5104,0,3,3,3.3
4.8,8.91,7,0,77.4782,1,4,1,4.55
6.48,4.01,13,1,77.2107,1,3,14,8.06
1.97,6.51,18,2,77.566,1,6,6,10.0
1.77,6.16,2,1,77.6414,0,0,1,6.5
7.07,9.62,15,2,77.2471,2,0,16,5.9
6.64,1.44,19,2,77.8375,2,10,14,4.72
2.15,1.98,4,0,77.5847,2,0,8,2.31
9.44,8.31,21,1,77.0018,2,9,14,1.45
4.58,6.22,11,1,77.3727,1,0,19,7.74
4.86,0.37,10,1,77.6684,0,5,11,6.29
3.66,7.58,1,1,77.4479,0,5,0,3.07
5.0,6.76,19,2,77.916,2,0,2,8.55
0.17,1.69,20,0,77.6471,2,1,11,4.63
8.34,5.55,11,0,77.4516,2,4,11,6.15
0.85,8.44,1,2,77.3341,1,1,3,5.34
9.73,6.41,4,2,77.0982,2,3,3,3.94
8.62,4.61,23,1,77.5027,0,3,2,4.01
0.83,5.65,22,1,77.3642,2,1,17,8.01
0.85,3.05,22,0,77.2885,1,9,5,6.1
9.13,4.19,2,1,77.3218,0,7,11,4.01
6.05,9.72,7,1,77.3862,0,8,16,4.49
5.91,9.32,10,1,77.4118,0,5,6,5.18
3.02,3.84,17,1,77.2575,1,8,2,10.0
4.69,4.83,15,2,77.7359,2,10,11,9.87
7.82,8.11,0,2,77.1449,2,1,1,2.03
4.04,0.12,19,0,77.2017,0,4,12,4.43
7.96,6.66,1,2,77.5915,0,6,4,3.62
6.38,3.61,14,0,77.7078,0,8,10,7.6
1.55,0.3,4,1,77.0411,0,0,2,3.48
0.54,4.59,11,1,77.9326,1,6,17,10.0
7.36,8.03,21,2,77.736,1,9,10,3.24
9.03,4.29,5,1,77.5901,0,6,3,2.77
1.8,2.24,5,2,77.3746,2,8,9,3.89
7.0,9.99,19,0,77.0693,1,10,1,3.11
3.68,2.21,16,2,77.3141,0,2,4,7.57
1.76,2.54,9,0,77.137,1,10,17,5.9
5.36,7.14,5,2,77.6812,2,9,9,4.12
4.0,2.13,8,0,77.6911,1,4,18,5.75
3.52,8.19,11,1,77.8142,2,7,13,7.55
1.74,8.79,12,2,77.0108,2,5,19,9.2
0.33,2.11,8,1,77.5293,1,3,19,7.92
8.75,1.47,12,1,77.6902,0,9,9,4.27
6.32,7.72,2,2,77.448,2,3,1,2.81
5.22,3.62,9,2,77.2134,0,1,6,8.53
6.43,7.01,14,0,77.5504,0,8,17,4.76
4.02,2.63,2,0,77.0464,1,4,20,1.41
1.81,8.2,6,2,77.4792,1,5,12,8.0
1.59,7.46,3,2,77.0303,0,3,7,5.67
2.94,4.68,17,1,77.3236,1,10,3,9.81
3.74,5.5,20,0,77.3231,1,1,16,5.8
2.95,7.53,1,1,77.0041,2,7,10,4.96
4.29,4.02,4,2,77.2788,0,2,0,6.53
1.38,7.26,1,2,77.9844,2,5,4,5.33
9.98,0.17,21,1,77.1381,1,2,19,0.0
8.82,5.09,20,0,77.444,2,6,6,2.74
9.75,1.69,9,0,77.522,0,4,12,2.4
6.16,7.16,10,0,77.9436,0,7,7,4.96
0.57,4.3,4,0,77.0525,1,2,13,7.17
4.09,4.11,3,0,77.8363,0,5,4,4.24
3.76,5.43,11,2,77.9301,1,7,7,8.78
5.08,5.52,12,0,77.7394,2,10,8,8.49
8.74,7.67,18,2,77.9959,0,4,2,3.89
8.73,9.77,2,2,77.0812,0,5,2,2.62
2.35,8.52,13,0,77.5093,0,2,7,6.92
7.41,4.78,1,0,77.4519,1,8,9,4.05
6.6,7.7,4,1,77.6287,0,3,14,1.56
3.54,3.42,1,1,77.6049,1,2,15,5.43
1.03,9.87,2,2,77.7341,2,7,20,6.0
4.26,8.07,10,0,77.6655,2,3,3,6.15
7.83,5.95,23,1,77.5977,0,2,17,4.84
4.88,3.77,18,2,77.1751,0,7,18,9.34
1.39,2.92,5,2,77.2124,1,0,16,5.33
6.8,4.93,13,1,77.1097,2,0,18,9.35
3.79,9.87,4,2,77.0809,2,0,15,4.38
5.84,4.11,2,1,77.6192,0,10,9,4.47
4.35,4.84,7,2,77.2599,0,9,4,9.1
9.44,2.86,13,1,77.334,2,6,9,4.88
1.86,9.16,10,2,77.8006,1,6,14,9.04
0.49,6.81,5,1,77.0433,1,5,11,6.77
3.35,9.76,2,0,77.2751,1,6,14,3.51
2.84,9.75,7,1,77.6369,0,7,18,6.47
7.75,5.33,4,0,77.4912,2,8,6,3.46
8.97,1.47,20,2,77.9995,1,8,6,1.38
3.04,2.05,19,1,77.5301,0,1,0,6.48
0.44,1.89,8,1,77.9564,1,2,3,8.06
7.78,6.37,14,1,77.4999,2,0,9,7.18
0.82,2.99,21,0,77.4674,2,5,17,4.16
0.54,9.57,8,2,77.8706,1,9,17,8.17
0.58,8.01,3,2,77.7732,1,2,1,5.68
3.51,1.0,10,1,77.2759,2,6,10,7.07
1.78,6.6,14,0,77.0379,1,5,10,9.71
8.75,0.39,1,1,77.269,2,7,1,1.22
8.48,1.07,16,1,77.3644,0,1,10,5.39
4.45,9.2,18,1,77.8212,2,8,0,5.35
0.13,9.63,19,1,77.2694,0,8,7,9.01
0.98,9.02,13,0,77.9936,1,10,17,7.72
0.99,5.9,6,1,77.6952,1,10,1,10.0
0.28,5.7,3,0,77.1208,0,4,4,7.52
6.89,0.78,8,1,77.8121,1,7,8,4.64
0.71,1.39,3,0,77.3957,1,9,8,4.18
3.0,6.25,11,2,77.8382,0,0,7,10.0
0.03,6.33,16,1,77.4139,2,7,4,10.0
0.93,2.76,7,1,77.7092,0,10,15,7.73
7.05,9.18,15,2,77.5782,0,3,17,6.96
9.96,8.82,15,0,77.7541,1,0,6,3.08
1.93,6.62,19,1,77.3812,2,7,18,10.0
4.61,1.53,9,0,77.8619,2,4,6,5.19
4.87,4.82,13,0,77.3567,2,6,17,7.79
0.35,8.13,13,0,77.7105,0,3,12,8.79
2.19,7.97,15,2,77.4602,1,7,9,9.35
9.98,9.83,18,2,77.1226,1,4,2,4.13
7.75,2.9,12,1,77.0084,1,3,11,5.67
9.7,9.78,20,0,77.7368,2,4,1,0.0
8.01,9.32,1,1,77.941,1,5,10,1.96
8.03,6.64,21,1,77.7146,1,8,7,3.28
5.05,0.16,0,2,77.8246,0,3,18,2.34
0.79,7.92,11,1,77.6985,0,6,14,8.55
5.33,7.37,17,1,77.1365,2,5,13,6.53
4.85,5.18,7,0,77.575,2,0,2,6.83
2.28,6.17,15,1,77.6105,1,2,18,10.0
2.39,6.42,22,1,77.4156,2,0,20,6.96
0.36,6.14,5,1,77.3448,0,8,13,7.59
9.17,0.3,14,1,77.8913,0,6,15,4.33
5.15,0.97,6,2,77.7683,1,0,13,5.71
4.25,0.74,5,2,77.0507,1,8,7,2.56
6.65,8.61,12,2,77.2995,2,8,5,6.24
4.88,9.45,18,0,77.5928,0,0,20,5.66
5.34,8.01,11,2,77.0686,1,10,19,5.86
6.02,2.38,20,0,77.6472,1,6,20,1.28
8.33,7.12,9,2,77.9339,2,9,5,4.44
7.57,8.48,17,0,77.3554,2,8,6,4.79
9.37,6.46,13,2,77.8237,1,10,16,8.24
5.36,5.52,2,0,77.4071,0,5,13,4.68
4.18,7.61,8,0,77.417,2,5,6,4.73
2.66,8.78,15,1,77.8752,0,1,5,8.01
1.29,6.15,16,0,77.7144,0,9,4,10.0
3.05,5.24,23,2,77.6653,1,8,14,6.7
4.01,7.52,15,1,77.1327,1,4,20,7.36
5.28,0.61,16,2,77.4621,0,0,7,6.0
6.82,9.9,19,1,77.9217,2,6,15,4.79
9.81,5.25,1,2,77.8497,0,6,9,2.99
1.68,1.74,18,2,77.1996,1,8,0,8.34
6.21,5.5,12,0,77.2448,0,5,16,7.63
1.25,9.5,3,0,77.2403,0,6,16,3.95
7.9,2.05,9,1,77.9487,0,8,10,3.73
6.31,7.01,1,0,77.7613,1,9,8,0.94
1.87,2.19,7,1,77.9525,1,6,14,6.66
2.01,2.87,14,2,77.5335,1,9,13,8.08
3.33,9.88,14,1,77.5068,2,6,4,8.23
1.61,1.5,13,0,77.1654,2,2,11,6.3
2.49,7.76,17,0,77.6787,0,3,2,6.84
8.61,0.53,23,0,77.9295,0,9,20,0.0
3.7,4.13,3,1,77.5794,1,3,6,7.01
1.49,8.12,8,2,77.0982,1,1,10,9.19
0.96,6.57,23,1,77.5762,0,10,6,8.19
9.36,7.89,16,2,77.1239,1,4,2,5.38
4.79,3.69,5,1,77.4798,0,1,6,5.86
8.75,3.37,8,2,77.5412,1,7,9,6.3
3.53,0.33,12,1,77.8052,0,10,8,7.9
5.89,4.86,8,1,77.8794,1,2,4,8.81
2.72,6.24,6,1,77.5411,0,5,20,9.38
0.78,9.06,8,0,77.714,1,10,2,7.95
6.68,3.21,12,2,77.6625,0,2,1,9.68
9.48,8.14,5,0,77.6195,2,8,16,0.0
8.84,5.59,5,0,77.3241,2,3,4,3.49
5.0,9.12,17,0,77.0668,2,8,3,6.44
7.07,9.1,23,1,77.9843,0,3,2,1.09
9.02,5.98,5,0,77.3457,0,9,3,2.61
1.22,1.98,7,1,77.3325,1,4,11,6.74
6.42,1.96,22,0,77.8413,0,1,19,0.78
0.29,7.25,7,1,77.0132,2,0,7,7.75
7.13,5.89,0,1,77.8855,2,9,10,4.91
5.84,6.75,20,0,77.9332,1,9,8,4.96
0.15,6.04,21,1,77.9,0,3,10,7.56
8.57,4.79,5,0,77.091,0,2,2,3.58
5.46,5.39,22,1,77.7198,1,3,8,5.51
2.27,2.07,21,1,77.0018,0,4,15,4.11
0.79,2.27,20,2,77.5085,0,1,11,5.2
7.23,9.85,20,1,77.5894,0,2,10,2.07
3.81,3.37,5,2,77.4969,1,5,20,5.8
0.91,1.92,18,1,77.3681,1,9,15,6.58
4.14,3.42,3,0,77.0826,0,7,8,4.96
1.79,1.33,6,0,77.8731,2,10,8,7.04
1.71,9.82,9,0,77.7093,1,4,14,7.44
7.5,6.12,3,1,77.8021,2,9,5,3.5
2.87,0.56,3,2,77.3786,1,3,12,4.83
3.2,8.52,4,0,77.05,0,0,13,3.84
0.61,5.03,7,2,77.6251,1,6,11,10.0
2.93,7.87,4,2,77.6094,2,6,13,4.53
5.61,2.88,18,1,77.4895,1,2,5,5.9
7.84,0.27,14,0,77.5704,1,9,9,4.37
4.18,7.7,16,0,77.7807,1,2,8,7.1
7.87,5.25,2,2,77.4873,0,10,15,4.38
7.46,8.1,6,2,77.8896,2,3,0,4.9
5.0,8.31,1,0,77.8767,0,3,4,1.09
1.91,1.98,18,1,77.8731,2,1,0,6.98
0.2,4.38,12,2,77.0477,2,0,6,10.0
7.98,5.82,0,1,77.7842,1,8,8,3.93
1.4,2.08,0,1,77.6339,0,5,16,3.55
2.31,8.32,22,2,77.5017,2,10,18,4.53
9.32,0.68,7,2,77.8463,0,6,11,4.28
0.13,2.9,0,0,77.9275,2,9,7,3.71
1.49,3.86,20,1,77.144,1,0,14,6.81
8.89,7.35,5,2,77.0633,2,2,5,1.03
4.81,1.65,15,1,77.5519,0,7,0,5.71
2.42,8.55,14,2,77.9932,1,5,0,9.72
9.64,7.54,22,0,77.0886,1,7,14,0.62
8.66,9.46,0,1,77.8785,2,8,0,1.64
7.38,7.02,23,0,77.6377,2,7,7,0.68
3.29,8.49,11,0,77.4356,1,10,15,6.42
2.65,3.14,6,2,77.4011,2,4,16,10.0
3.94,0.41,22,0,77.1986,2,8,20,1.86
4.48,9.87,17,1,77.2622,2,5,14,6.29
3.88,6.53,18,2,77.9443,2,9,15,8.64
2.22,9.16,10,2,77.4278,0,10,8,8.08
3.93,4.79,11,1,77.6634,0,6,15,8.68
9.61,5.75,17,1,77.8683,2,6,2,8.05
8.87,2.29,18,0,77.2937,1,10,0,2.31
4.37,4.11,15,2,77.1815,2,8,15,10.0
9.41,7.49,20,2,77.8437,0,4,19,0.85
0.98,8.62,12,2,77.6269,2,4,8,8.69
3.42,5.32,1,2,77.3827,1,4,1,7.72
7.74,8.83,3,2,77.2155,2,10,16,1.13
2.48,9.99,11,1,77.2762,2,4,7,7.95
9.09,3.19,11,1,77.3513,2,2,17,6.84
7.41,5.89,5,2,77.3458,0,3,5,4.5
0.85,0.53,16,2,77.4262,0,5,18,8.41
5.89,0.09,18,1,77.1624,2,8,10,5.61
0.84,1.12,18,0,77.0178,1,4,0,6.49
8.73,0.15,9,1,77.0602,1,3,20,4.25
5.13,6.23,17,0,77.5953,0,0,0,9.22
3.36,0.37,0,1,77.5296,1,0,16,3.67
7.23,9.45,2,2,77.4292,1,8,17,2.68
5.92,0.97,14,2,77.0659,2,4,14,5.95
6.34,8.1,17,1,77.0938,1,9,13,7.25
2.17,6.53,6,1,77.2837,0,1,9,10.0
4.14,8.49,0,0,77.5304,2,6,8,2.35
5.52,2.13,22,0,77.9942,2,6,1,2.23
8.83,0.39,16,2,77.556,1,7,16,5.91
0.47,3.74,18,0,77.9322,0,0,17,10.0
7.3,9.41,8,0,77.4709,0,9,16,3.83
2.49,2.66,12,0,77.9988,1,8,0,7.43
7.27,9.26,14,1,77.5617,0,1,18,6.56
3.78,6.6,20,0,77.6958,1,3,17,4.33
9.16,1.2,15,0,77.3565,2,6,16,3.86
0.11,0.25,23,2,77.9764,1,4,19,5.26
4.88,1.33,3,1,77.7088,2,10,6,2.84
8.69,6.7,13,2,77.0075,2,9,16,9.09
1.47,3.62,17,1,77.7235,0,9,6,10.0
